UDI,Timestamp,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Downtime_Minutes
8507,2024-02-29 09:40:00,L55686,298.4,309.6,1710,27.3,163,1,No Failure,80
8508,2024-02-29 09:50:00,L55687,298.4,309.7,1518,39.8,165,0,No Failure,0
8509,2024-02-29 10:00:00,M23368,298.4,309.7,1679,33.3,167,0,No Failure,0
8510,2024-02-29 10:10:00,M23369,298.4,309.7,1870,22.5,170,0,No Failure,0
8511,2024-02-29 10:20:00,L55690,298.3,309.7,1484,44.3,173,0,No Failure,0
8512,2024-02-29 10:30:00,L55691,298.4,309.7,1457,44.2,175,0,No Failure,0
8513,2024-02-29 10:40:00,H37926,298.3,309.6,1546,36.2,177,0,No Failure,0
8514,2024-02-29 10:50:00,M23373,298.2,309.5,1478,36.5,182,0,No Failure,0
8515,2024-02-29 11:00:00,L55694,298.2,309.4,1447,47.1,185,0,No Failure,0
8516,2024-02-29 11:10:00,L55695,298.2,309.4,1443,45.4,187,0,No Failure,0
8517,2024-02-29 11:20:00,L55696,298.3,309.6,1527,30.9,189,0,No Failure,0
8518,2024-02-29 11:30:00,M23377,298.3,309.6,1469,54.8,191,0,No Failure,0
8519,2024-02-29 11:40:00,M23378,298.3,309.6,1681,27.1,194,0,No Failure,0
8520,2024-02-29 11:50:00,L55699,298.3,309.6,1420,44.1,197,0,No Failure,0
8521,2024-02-29 12:00:00,M23380,298.3,309.5,1543,49.9,199,0,No Failure,0
8522,2024-02-29 12:10:00,L55701,298.4,309.5,1376,50.4,202,0,No Failure,0
8523,2024-02-29 12:20:00,H37936,298.3,309.4,1631,29.8,0,0,No Failure,0
8524,2024-02-29 12:30:00,H37937,298.3,309.3,1529,41.7,5,0,No Failure,0
8525,2024-02-29 12:40:00,L55704,298.3,309.4,1468,46.2,10,0,No Failure,0
8526,2024-02-29 12:50:00,L55705,298.3,309.4,1378,52.3,12,0,No Failure,0
8527,2024-02-29 13:00:00,L55706,298.3,309.3,1401,51.9,14,0,No Failure,0
8528,2024-02-29 13:10:00,L55707,298.4,309.3,1531,37.4,16,0,No Failure,0
8529,2024-02-29 13:20:00,L55708,298.4,309.3,1512,35.8,18,0,No Failure,0
8530,2024-02-29 13:30:00,M23389,298.5,309.4,1522,47.4,20,0,No Failure,0
8531,2024-02-29 13:40:00,M23390,298.5,309.3,1615,31.8,23,0,No Failure,0
8532,2024-02-29 13:50:00,L55711,298.6,309.3,1449,46.5,26,0,No Failure,0
8533,2024-02-29 14:00:00,L55712,298.6,309.4,1315,55.5,28,0,No Failure,0
8534,2024-02-29 14:10:00,M23393,298.6,309.4,1465,41.1,30,0,No Failure,0
8535,2024-02-29 14:20:00,M23394,298.6,309.5,1404,43.3,33,0,No Failure,0
8536,2024-02-29 14:30:00,L55715,298.6,309.5,1547,44.8,36,0,No Failure,0
8537,2024-02-29 14:40:00,M23396,298.6,309.5,1426,45.4,38,0,No Failure,0
8538,2024-02-29 14:50:00,L55717,298.6,309.5,1730,30.2,41,0,No Failure,0
8539,2024-02-29 15:00:00,L55718,298.5,309.4,1548,37.7,43,0,No Failure,0
8540,2024-02-29 15:10:00,L55719,298.5,309.4,1517,40.2,45,0,No Failure,0
8541,2024-02-29 15:20:00,L55720,298.6,309.5,1687,29.3,47,0,No Failure,0
8542,2024-02-29 15:30:00,L55721,298.5,309.5,1738,25.2,49,0,No Failure,0
8543,2024-02-29 15:40:00,H37956,298.4,309.4,1512,35.3,51,0,No Failure,0
8544,2024-02-29 15:50:00,M23403,298.5,309.4,1365,48.7,56,0,No Failure,0
8545,2024-02-29 16:00:00,H37958,298.5,309.4,2011,21.0,59,0,No Failure,0
8546,2024-02-29 16:10:00,L55725,298.4,309.3,1806,27.6,64,0,No Failure,0
8547,2024-02-29 16:20:00,L55726,298.4,309.3,1716,28.4,66,0,No Failure,0
8548,2024-02-29 16:30:00,M23407,298.4,309.4,1666,24.3,68,0,No Failure,0
8549,2024-02-29 16:40:00,L55728,298.5,309.4,1578,36.3,71,0,No Failure,0
8550,2024-02-29 16:50:00,L55729,298.3,309.3,1558,37.2,73,0,No Failure,0
8551,2024-02-29 17:00:00,L55730,298.3,309.2,1456,45.5,75,0,No Failure,0
8552,2024-02-29 17:10:00,M23411,298.2,309.1,1457,49.0,77,0,No Failure,0
8553,2024-02-29 17:20:00,L55732,298.2,309.1,1467,44.5,80,0,No Failure,0
8554,2024-02-29 17:30:00,M23413,298.1,309.0,1661,38.2,82,0,No Failure,0
8555,2024-02-29 17:40:00,L55734,298.1,309.0,1592,33.9,85,0,No Failure,0
8556,2024-02-29 17:50:00,L55735,298.2,309.0,1596,37.2,87,0,No Failure,0
8557,2024-02-29 18:00:00,L55736,298.2,309.0,1489,40.6,89,0,No Failure,0
8558,2024-02-29 18:10:00,L55737,298.3,309.0,1471,48.3,91,0,No Failure,0
8559,2024-02-29 18:20:00,M23418,298.3,309.0,1505,41.3,93,0,No Failure,0
8560,2024-02-29 18:30:00,L55739,298.3,309.0,1519,40.0,96,0,No Failure,0
8561,2024-02-29 18:40:00,L55740,298.3,309.0,1408,45.4,98,0,No Failure,0
8562,2024-02-29 18:50:00,L55741,298.2,308.9,1332,44.4,100,0,No Failure,0
8563,2024-02-29 19:00:00,L55742,298.1,308.9,1351,52.4,102,0,No Failure,0
8564,2024-02-29 19:10:00,L55743,298.0,308.9,1500,36.7,104,0,No Failure,0
8565,2024-02-29 19:20:00,M23424,298.0,308.7,1614,30.7,106,0,No Failure,0
8566,2024-02-29 19:30:00,L55745,298.0,308.8,1489,36.5,109,0,No Failure,0
8567,2024-02-29 19:40:00,M23426,297.9,308.7,1751,26.6,111,0,No Failure,0
8568,2024-02-29 19:50:00,L55747,298.0,308.7,1511,45.8,114,0,No Failure,0
8569,2024-02-29 20:00:00,L55748,297.9,308.6,1691,29.6,116,0,No Failure,0
8570,2024-02-29 20:10:00,L55749,297.9,308.6,1757,27.5,118,0,No Failure,0
8571,2024-02-29 20:20:00,H37984,297.9,308.7,1545,35.9,120,0,No Failure,0
8572,2024-02-29 20:30:00,L55751,297.9,308.6,2262,15.7,125,0,No Failure,0
8573,2024-02-29 20:40:00,M23432,297.7,308.5,1559,35.2,127,0,No Failure,0
8574,2024-02-29 20:50:00,L55753,297.6,308.4,1626,32.4,130,0,No Failure,0
8575,2024-02-29 21:00:00,L55754,297.6,308.3,1424,53.9,132,0,No Failure,0
8576,2024-02-29 21:10:00,M23435,297.6,308.3,1648,29.1,134,0,No Failure,0
8577,2024-02-29 21:20:00,L55756,297.6,308.3,1523,39.5,137,0,No Failure,0
8578,2024-02-29 21:30:00,L55757,297.6,308.3,1502,43.2,139,0,No Failure,0
8579,2024-02-29 21:40:00,L55758,297.5,308.2,1489,40.7,141,0,No Failure,0
8580,2024-02-29 21:50:00,M23439,297.4,308.1,1620,31.2,143,0,No Failure,0
8581,2024-02-29 22:00:00,L55760,297.5,308.1,1631,30.6,146,0,No Failure,0
8582,2024-02-29 22:10:00,M23441,297.5,308.0,1429,45.8,148,0,No Failure,0
8583,2024-02-29 22:20:00,M23442,297.5,308.1,1334,72.0,151,1,Power Failure,45
8584,2024-02-29 22:30:00,L55763,297.4,308.0,1423,38.0,154,0,No Failure,0
8585,2024-02-29 22:40:00,L55764,297.4,307.9,1390,47.7,156,0,No Failure,0
8586,2024-02-29 22:50:00,M23445,297.4,307.9,1338,48.5,158,0,No Failure,0
8587,2024-02-29 23:00:00,H38000,297.3,307.9,1461,37.5,161,0,No Failure,0
8588,2024-02-29 23:10:00,M23447,297.4,307.9,1627,34.3,166,0,No Failure,0
8589,2024-02-29 23:20:00,L55768,297.3,307.8,1385,44.4,169,0,No Failure,0
8590,2024-02-29 23:30:00,M23449,297.3,307.8,1538,48.0,171,0,No Failure,0
8591,2024-02-29 23:40:00,L55770,297.4,307.9,1557,35.5,174,0,No Failure,0
8592,2024-02-29 23:50:00,L55771,297.4,307.9,1606,33.4,176,0,No Failure,0
8593,2024-03-01 00:00:00,M23452,297.5,308.0,1430,44.5,178,0,No Failure,0
8594,2024-03-01 00:10:00,M23453,297.4,308.0,1601,34.6,181,0,No Failure,0
8595,2024-03-01 00:20:00,L55774,297.4,308.0,1356,51.9,184,0,No Failure,0
8596,2024-03-01 00:30:00,M23455,297.5,308.2,1624,30.9,186,0,No Failure,0
8597,2024-03-01 00:40:00,L55776,297.5,308.2,1327,56.5,189,0,No Failure,0
8598,2024-03-01 00:50:00,L55777,297.6,308.3,1410,47.0,191,0,No Failure,0
8599,2024-03-01 01:00:00,L55778,297.6,308.3,1478,42.3,193,0,No Failure,0
8600,2024-03-01 01:10:00,L55779,297.6,308.4,1460,40.3,195,0,No Failure,0
8601,2024-03-01 01:20:00,L55780,297.5,308.3,1435,40.3,197,0,No Failure,0
8602,2024-03-01 01:30:00,H38015,297.4,308.2,1359,46.9,199,0,No Failure,0
8603,2024-03-01 01:40:00,L55782,297.4,308.1,1729,31.7,204,0,No Failure,0
8604,2024-03-01 01:50:00,H38017,297.3,308.0,1384,49.1,206,0,No Failure,0
8605,2024-03-01 02:00:00,L55784,297.4,308.2,1297,52.1,211,0,No Failure,0
8606,2024-03-01 02:10:00,L55785,297.5,308.4,1633,33.3,213,0,No Failure,0
8607,2024-03-01 02:20:00,M23466,297.5,308.4,1505,37.2,215,0,No Failure,0
8608,2024-03-01 02:30:00,L55787,297.5,308.4,1433,50.0,218,0,No Failure,0
8609,2024-03-01 02:40:00,L55788,297.4,308.4,1369,50.6,220,1,Overstrain Failure,59
8610,2024-03-01 02:50:00,L55789,297.4,308.3,1475,40.5,222,1,Tool Wear Failure,207
8611,2024-03-01 03:00:00,L55790,297.4,308.3,1561,38.3,0,0,No Failure,0
8612,2024-03-01 03:10:00,L55791,297.4,308.3,1472,45.5,2,0,No Failure,0
8613,2024-03-01 03:20:00,L55792,297.5,308.4,1441,44.5,4,0,No Failure,0
8614,2024-03-01 03:30:00,M23473,297.5,308.5,1401,50.5,6,0,No Failure,0
8615,2024-03-01 03:40:00,L55794,297.5,308.5,1691,33.1,9,0,No Failure,0
8616,2024-03-01 03:50:00,L55795,297.6,308.6,1382,47.1,11,0,No Failure,0
8617,2024-03-01 04:00:00,L55796,297.6,308.6,1355,46.4,13,0,No Failure,0
8618,2024-03-01 04:10:00,L55797,297.6,308.6,1529,45.3,15,0,No Failure,0
8619,2024-03-01 04:20:00,L55798,297.7,308.7,1829,24.9,17,0,No Failure,0
8620,2024-03-01 04:30:00,H38033,297.6,308.6,1480,39.8,19,0,No Failure,0
8621,2024-03-01 04:40:00,L55800,297.6,308.5,1475,42.4,24,0,No Failure,0
8622,2024-03-01 04:50:00,M23481,297.6,308.5,1431,52.6,26,0,No Failure,0
8623,2024-03-01 05:00:00,L55802,297.5,308.3,1437,42.3,29,0,No Failure,0
8624,2024-03-01 05:10:00,M23483,297.5,308.3,1476,45.6,31,0,No Failure,0
8625,2024-03-01 05:20:00,H38038,297.5,308.4,1490,39.7,34,0,No Failure,0
8626,2024-03-01 05:30:00,L55805,297.4,308.3,1632,33.5,39,0,No Failure,0
8627,2024-03-01 05:40:00,L55806,297.4,308.2,1402,49.7,41,0,No Failure,0
8628,2024-03-01 05:50:00,L55807,297.4,308.3,1347,45.8,43,0,No Failure,0
8629,2024-03-01 06:00:00,L55808,297.5,308.4,1747,31.0,45,0,No Failure,0
8630,2024-03-01 06:10:00,H38043,297.5,308.5,1557,39.1,47,0,No Failure,0
8631,2024-03-01 06:20:00,L55810,297.4,308.4,1371,57.4,52,0,No Failure,0
8632,2024-03-01 06:30:00,H38045,297.3,308.3,1506,37.0,54,0,No Failure,0
8633,2024-03-01 06:40:00,L55812,297.3,308.3,1590,35.5,59,0,No Failure,0
8634,2024-03-01 06:50:00,L55813,297.4,308.3,1336,53.7,61,0,No Failure,0
8635,2024-03-01 07:00:00,L55814,297.3,308.3,1411,43.2,63,0,No Failure,0
8636,2024-03-01 07:10:00,L55815,297.4,308.3,1704,27.3,65,0,No Failure,0
8637,2024-03-01 07:20:00,L55816,297.5,308.4,1723,27.3,67,0,No Failure,0
8638,2024-03-01 07:30:00,L55817,297.5,308.5,1459,39.7,69,0,No Failure,0
8639,2024-03-01 07:40:00,L55818,297.6,308.5,1572,35.9,71,0,No Failure,0
8640,2024-03-01 07:50:00,L55819,297.5,308.4,1384,56.0,73,0,No Failure,0
8641,2024-03-01 08:00:00,L55820,297.6,308.6,1383,47.5,75,0,No Failure,0
8642,2024-03-01 08:10:00,M23501,297.6,308.5,1360,48.6,77,0,No Failure,0
8643,2024-03-01 08:20:00,M23502,297.5,308.4,1596,36.6,80,0,No Failure,0
8644,2024-03-01 08:30:00,L55823,297.5,308.5,1448,54.3,83,0,No Failure,0
8645,2024-03-01 08:40:00,M23504,297.6,308.5,1443,38.2,85,0,No Failure,0
8646,2024-03-01 08:50:00,M23505,297.6,308.6,1492,35.5,88,0,No Failure,0
8647,2024-03-01 09:00:00,L55826,297.5,308.6,1497,43.9,91,0,No Failure,0
8648,2024-03-01 09:10:00,L55827,297.5,308.5,1530,38.5,93,0,No Failure,0
8649,2024-03-01 09:20:00,M23508,297.4,308.4,1478,46.2,95,0,No Failure,0
8650,2024-03-01 09:30:00,L55829,297.4,308.4,1328,61.8,98,0,No Failure,0
8651,2024-03-01 09:40:00,H38064,297.4,308.3,1771,27.4,100,0,No Failure,0
8652,2024-03-01 09:50:00,M23511,297.4,308.4,1564,35.0,105,0,No Failure,0
8653,2024-03-01 10:00:00,H38066,297.3,308.3,1461,41.5,108,0,No Failure,0
8654,2024-03-01 10:10:00,M23513,297.4,308.3,1335,57.9,113,0,No Failure,0
8655,2024-03-01 10:20:00,M23514,297.4,308.4,1441,46.8,116,0,No Failure,0
8656,2024-03-01 10:30:00,L55835,297.3,308.3,1268,60.6,119,0,No Failure,0
8657,2024-03-01 10:40:00,M23516,297.3,308.3,1697,27.4,121,0,No Failure,0
8658,2024-03-01 10:50:00,L55837,297.4,308.4,1421,46.0,124,0,No Failure,0
8659,2024-03-01 11:00:00,L55838,297.4,308.5,1496,36.4,126,0,No Failure,0
8660,2024-03-01 11:10:00,L55839,297.5,308.5,1375,55.6,128,0,No Failure,0
8661,2024-03-01 11:20:00,L55840,297.4,308.5,1295,52.1,130,0,No Failure,0
8662,2024-03-01 11:30:00,L55841,297.4,308.5,1643,33.8,132,0,No Failure,0
8663,2024-03-01 11:40:00,L55842,297.5,308.6,1514,36.9,134,0,No Failure,0
8664,2024-03-01 11:50:00,L55843,297.5,308.6,1671,29.4,136,0,No Failure,0
8665,2024-03-01 12:00:00,H38078,297.5,308.6,1355,58.9,138,0,No Failure,0
8666,2024-03-01 12:10:00,L55845,297.6,308.7,1365,50.6,143,0,No Failure,0
8667,2024-03-01 12:20:00,L55846,297.5,308.7,1407,42.5,145,0,No Failure,0
8668,2024-03-01 12:30:00,M23527,297.5,308.8,1455,46.1,147,0,No Failure,0
8669,2024-03-01 12:40:00,L55848,297.5,308.8,1502,45.9,150,0,No Failure,0
8670,2024-03-01 12:50:00,M23529,297.5,308.8,1471,52.3,152,0,No Failure,0
8671,2024-03-01 13:00:00,L55850,297.5,308.9,1581,30.4,155,0,No Failure,0
8672,2024-03-01 13:10:00,L55851,297.5,308.8,1530,37.8,157,0,No Failure,0
8673,2024-03-01 13:20:00,L55852,297.5,308.8,1312,50.3,159,0,No Failure,0
8674,2024-03-01 13:30:00,L55853,297.4,308.6,1494,42.6,161,0,No Failure,0
8675,2024-03-01 13:40:00,M23534,297.4,308.6,1528,29.1,163,0,No Failure,0
8676,2024-03-01 13:50:00,H38089,297.3,308.6,1688,29.4,166,0,No Failure,0
8677,2024-03-01 14:00:00,M23536,297.3,308.5,1520,42.4,171,0,No Failure,0
8678,2024-03-01 14:10:00,M23537,297.3,308.5,1664,28.9,174,0,No Failure,0
8679,2024-03-01 14:20:00,L55858,297.3,308.5,1514,44.5,177,0,No Failure,0
8680,2024-03-01 14:30:00,L55859,297.3,308.5,1456,54.2,179,0,No Failure,0
8681,2024-03-01 14:40:00,L55860,297.2,308.5,1494,39.6,181,0,No Failure,0
8682,2024-03-01 14:50:00,L55861,297.2,308.4,1605,30.0,183,0,No Failure,0
8683,2024-03-01 15:00:00,M23542,297.2,308.5,1353,46.5,185,0,No Failure,0
8684,2024-03-01 15:10:00,L55863,297.2,308.5,1447,47.9,188,0,No Failure,0
8685,2024-03-01 15:20:00,L55864,297.2,308.5,1588,40.4,190,0,No Failure,0
8686,2024-03-01 15:30:00,H38099,297.2,308.5,1524,41.4,192,0,No Failure,0
8687,2024-03-01 15:40:00,M23546,297.2,308.5,1611,31.6,197,0,No Failure,0
8688,2024-03-01 15:50:00,M23547,297.2,308.5,1604,34.9,200,0,No Failure,0
8689,2024-03-01 16:00:00,L55868,297.1,308.5,1483,46.9,203,0,No Failure,0
8690,2024-03-01 16:10:00,L55869,297.1,308.4,1543,39.6,205,0,No Failure,0
8691,2024-03-01 16:20:00,L55870,297.1,308.5,1323,44.4,207,1,Tool Wear Failure,141
8692,2024-03-01 16:30:00,L55871,297.1,308.5,1555,36.2,0,0,No Failure,0
8693,2024-03-01 16:40:00,L55872,297.1,308.4,1583,31.9,2,0,No Failure,0
8694,2024-03-01 16:50:00,M23553,297.2,308.5,1584,40.0,4,0,No Failure,0
8695,2024-03-01 17:00:00,L55874,297.2,308.5,1766,25.8,7,0,No Failure,0
8696,2024-03-01 17:10:00,M23555,297.2,308.6,1498,44.4,9,0,No Failure,0
8697,2024-03-01 17:20:00,L55876,297.2,308.6,1413,49.8,12,0,No Failure,0
8698,2024-03-01 17:30:00,L55877,297.3,308.6,1505,33.5,14,0,No Failure,0
8699,2024-03-01 17:40:00,H38112,297.3,308.7,1438,46.2,16,0,No Failure,0
8700,2024-03-01 17:50:00,M23559,297.3,308.7,1655,34.1,21,0,No Failure,0
8701,2024-03-01 18:00:00,M23560,297.3,308.7,1451,43.8,24,0,No Failure,0
8702,2024-03-01 18:10:00,M23561,297.3,308.7,1466,38.4,27,0,No Failure,0
8703,2024-03-01 18:20:00,L55882,297.2,308.6,1774,23.0,30,0,No Failure,0
8704,2024-03-01 18:30:00,M23563,297.2,308.6,1284,51.3,32,0,No Failure,0
8705,2024-03-01 18:40:00,L55884,297.1,308.5,1425,40.0,35,0,No Failure,0
8706,2024-03-01 18:50:00,L55885,297.2,308.6,1437,52.4,37,0,No Failure,0
8707,2024-03-01 19:00:00,L55886,297.2,308.6,1335,53.0,39,0,No Failure,0
8708,2024-03-01 19:10:00,L55887,297.2,308.5,1471,41.7,41,0,No Failure,0
8709,2024-03-01 19:20:00,M23568,297.2,308.5,1364,54.0,43,0,No Failure,0
8710,2024-03-01 19:30:00,L55889,297.1,308.5,1578,35.6,46,0,No Failure,0
8711,2024-03-01 19:40:00,L55890,297.1,308.5,1712,32.1,48,0,No Failure,0
8712,2024-03-01 19:50:00,L55891,297.1,308.5,1733,28.7,50,0,No Failure,0
8713,2024-03-01 20:00:00,L55892,297.2,308.6,1652,32.1,52,0,No Failure,0
8714,2024-03-01 20:10:00,L55893,297.2,308.6,1917,24.1,54,0,No Failure,0
8715,2024-03-01 20:20:00,M23574,297.2,308.6,1444,41.1,56,0,No Failure,0
8716,2024-03-01 20:30:00,L55895,297.1,308.6,1442,37.1,59,0,No Failure,0
8717,2024-03-01 20:40:00,M23576,297.1,308.6,1717,31.3,61,0,No Failure,0
8718,2024-03-01 20:50:00,L55897,297.1,308.7,1474,42.3,64,0,No Failure,0
8719,2024-03-01 21:00:00,L55898,297.2,308.7,1509,39.3,66,0,No Failure,0
8720,2024-03-01 21:10:00,L55899,297.2,308.8,1451,43.1,68,0,No Failure,0
8721,2024-03-01 21:20:00,L55900,297.3,308.8,1554,36.1,70,0,No Failure,0
8722,2024-03-01 21:30:00,L55901,297.2,308.7,1669,30.7,72,0,No Failure,0
8723,2024-03-01 21:40:00,L55902,297.2,308.6,1366,50.4,74,0,No Failure,0
8724,2024-03-01 21:50:00,L55903,297.2,308.6,1578,34.4,76,0,No Failure,0
8725,2024-03-01 22:00:00,M23584,297.2,308.6,1513,39.0,78,0,No Failure,0
8726,2024-03-01 22:10:00,M23585,297.1,308.5,1515,42.1,81,0,No Failure,0
8727,2024-03-01 22:20:00,L55906,297.2,308.6,1562,33.0,84,0,No Failure,0
8728,2024-03-01 22:30:00,L55907,297.2,308.7,1501,38.5,86,0,No Failure,0
8729,2024-03-01 22:40:00,M23588,297.2,308.7,1398,38.1,88,0,No Failure,0
8730,2024-03-01 22:50:00,L55909,297.3,308.7,1352,53.8,91,0,No Failure,0
8731,2024-03-01 23:00:00,H38144,297.3,308.7,1569,33.9,93,0,No Failure,0
8732,2024-03-01 23:10:00,H38145,297.2,308.6,1486,46.6,98,0,No Failure,0
8733,2024-03-01 23:20:00,L55912,297.2,308.6,1864,23.6,103,0,No Failure,0
8734,2024-03-01 23:30:00,M23593,297.3,308.7,1447,44.5,105,0,No Failure,0
8735,2024-03-01 23:40:00,L55914,297.2,308.6,1392,41.5,108,0,No Failure,0
8736,2024-03-01 23:50:00,L55915,297.3,308.6,1358,47.6,110,0,No Failure,0
8737,2024-03-02 00:00:00,L55916,297.3,308.7,1491,40.2,112,0,No Failure,0
8738,2024-03-02 00:10:00,L55917,297.3,308.7,1556,36.7,114,0,No Failure,0
8739,2024-03-02 00:20:00,L55918,297.3,308.7,1531,36.7,116,0,No Failure,0
8740,2024-03-02 00:30:00,H38153,297.4,308.7,1429,37.6,118,0,No Failure,0
8741,2024-03-02 00:40:00,M23600,297.4,308.8,1573,33.9,123,0,No Failure,0
8742,2024-03-02 00:50:00,L55921,297.4,308.8,1538,41.2,126,0,No Failure,0
8743,2024-03-02 01:00:00,L55922,297.4,308.8,1467,39.0,128,0,No Failure,0
8744,2024-03-02 01:10:00,H38157,297.4,308.7,1323,51.1,130,0,No Failure,0
8745,2024-03-02 01:20:00,M23604,297.4,308.7,1798,23.0,135,0,No Failure,0
8746,2024-03-02 01:30:00,L55925,297.4,308.6,1411,46.3,138,0,No Failure,0
8747,2024-03-02 01:40:00,L55926,297.3,308.5,1528,44.5,140,0,No Failure,0
8748,2024-03-02 01:50:00,L55927,297.3,308.5,1504,42.0,142,0,No Failure,0
8749,2024-03-02 02:00:00,L55928,297.3,308.5,1384,39.6,144,0,No Failure,0
8750,2024-03-02 02:10:00,L55929,297.2,308.4,1677,26.4,146,0,No Failure,0
8751,2024-03-02 02:20:00,L55930,297.3,308.5,1764,30.8,148,0,No Failure,0
8752,2024-03-02 02:30:00,M23611,297.4,308.5,1472,42.0,150,0,No Failure,0
8753,2024-03-02 02:40:00,M23612,297.4,308.5,1465,55.9,153,0,No Failure,0
8754,2024-03-02 02:50:00,M23613,297.4,308.6,1657,33.1,156,0,No Failure,0
8755,2024-03-02 03:00:00,L55934,297.4,308.6,1635,30.5,159,0,No Failure,0
8756,2024-03-02 03:10:00,M23615,297.4,308.7,1582,31.9,161,0,No Failure,0
8757,2024-03-02 03:20:00,L55936,297.5,308.7,1761,26.2,164,0,No Failure,0
8758,2024-03-02 03:30:00,L55937,297.5,308.8,1587,34.9,166,0,No Failure,0
8759,2024-03-02 03:40:00,M23618,297.5,308.7,1446,53.0,168,0,No Failure,0
8760,2024-03-02 03:50:00,M23619,297.5,308.7,1352,53.0,171,0,No Failure,0
8761,2024-03-02 04:00:00,M23620,297.4,308.7,1392,46.4,174,0,No Failure,0
8762,2024-03-02 04:10:00,L55941,297.5,308.8,1417,49.8,177,0,No Failure,0
8763,2024-03-02 04:20:00,H38176,297.5,308.8,1824,24.0,179,0,No Failure,0
8764,2024-03-02 04:30:00,L55943,297.5,308.8,1603,36.7,184,0,No Failure,0
8765,2024-03-02 04:40:00,L55944,297.4,308.8,1620,33.4,186,0,No Failure,0
8766,2024-03-02 04:50:00,L55945,297.4,308.8,1353,49.4,188,0,No Failure,0
8767,2024-03-02 05:00:00,L55946,297.5,308.8,1360,50.7,190,0,No Failure,0
8768,2024-03-02 05:10:00,L55947,297.5,308.6,1380,53.5,192,0,No Failure,0
8769,2024-03-02 05:20:00,M23628,297.5,308.7,1363,53.6,194,0,No Failure,0
8770,2024-03-02 05:30:00,M23629,297.4,308.6,1452,41.2,197,0,No Failure,0
8771,2024-03-02 05:40:00,L55950,297.4,308.6,1680,32.8,200,0,No Failure,0
8772,2024-03-02 05:50:00,L55951,297.5,308.6,1536,39.0,202,0,No Failure,0
8773,2024-03-02 06:00:00,L55952,297.5,308.6,1621,28.9,0,0,No Failure,0
8774,2024-03-02 06:10:00,L55953,297.5,308.6,1585,37.6,2,0,No Failure,0
8775,2024-03-02 06:20:00,M23634,297.6,308.7,1408,51.5,4,0,No Failure,0
8776,2024-03-02 06:30:00,H38189,297.5,308.6,1536,38.7,7,0,No Failure,0
8777,2024-03-02 06:40:00,L55956,297.5,308.6,1352,52.6,12,0,No Failure,0
8778,2024-03-02 06:50:00,H38191,297.5,308.6,1481,38.8,14,0,No Failure,0
8779,2024-03-02 07:00:00,L55958,297.5,308.7,1454,45.0,19,0,No Failure,0
8780,2024-03-02 07:10:00,M23639,297.5,308.6,1349,51.5,21,0,No Failure,0
8781,2024-03-02 07:20:00,M23640,297.5,308.6,1327,52.1,24,0,No Failure,0
8782,2024-03-02 07:30:00,L55961,297.6,308.7,1552,42.3,27,0,No Failure,0
8783,2024-03-02 07:40:00,L55962,297.5,308.7,1456,44.7,29,0,No Failure,0
8784,2024-03-02 07:50:00,M23643,297.6,308.6,1254,45.8,31,0,No Failure,0
8785,2024-03-02 08:00:00,L55964,297.5,308.6,1437,43.3,34,0,No Failure,0
8786,2024-03-02 08:10:00,L55965,297.5,308.6,1694,27.1,36,0,No Failure,0
8787,2024-03-02 08:20:00,L55966,297.5,308.5,1306,50.7,38,0,No Failure,0
8788,2024-03-02 08:30:00,M23647,297.5,308.5,1699,30.1,40,0,No Failure,0
8789,2024-03-02 08:40:00,L55968,297.4,308.5,1369,53.2,43,0,No Failure,0
8790,2024-03-02 08:50:00,L55969,297.4,308.5,1471,43.9,45,0,No Failure,0
8791,2024-03-02 09:00:00,L55970,297.4,308.5,1410,43.9,47,0,No Failure,0
8792,2024-03-02 09:10:00,M23651,297.4,308.5,1412,45.5,49,0,No Failure,0
8793,2024-03-02 09:20:00,L55972,297.4,308.5,1418,51.2,52,0,No Failure,0
8794,2024-03-02 09:30:00,L55973,297.4,308.5,1782,25.9,54,0,No Failure,0
8795,2024-03-02 09:40:00,M23654,297.4,308.5,1497,36.4,56,0,No Failure,0
8796,2024-03-02 09:50:00,L55975,297.3,308.4,1459,39.4,59,0,No Failure,0
8797,2024-03-02 10:00:00,L55976,297.2,308.3,1796,23.8,61,0,No Failure,0
8798,2024-03-02 10:10:00,L55977,297.2,308.3,1569,31.2,63,0,No Failure,0
8799,2024-03-02 10:20:00,L55978,297.3,308.4,1469,46.7,65,0,No Failure,0
8800,2024-03-02 10:30:00,L55979,297.3,308.4,1472,41.3,67,0,No Failure,0
8801,2024-03-02 10:40:00,L55980,297.4,308.5,1475,47.2,69,0,No Failure,0
8802,2024-03-02 10:50:00,L55981,297.4,308.6,1488,36.4,71,0,No Failure,0
8803,2024-03-02 11:00:00,L55982,297.4,308.6,1524,43.1,73,0,No Failure,0
8804,2024-03-02 11:10:00,L55983,297.4,308.5,1486,48.6,75,0,No Failure,0
8805,2024-03-02 11:20:00,M23664,297.5,308.6,1255,60.7,77,0,No Failure,0
8806,2024-03-02 11:30:00,M23665,297.4,308.6,1469,42.6,80,0,No Failure,0
8807,2024-03-02 11:40:00,L55986,297.4,308.5,1692,34.3,83,0,No Failure,0
8808,2024-03-02 11:50:00,M23667,297.4,308.6,1604,32.8,85,0,No Failure,0
